date,n0,n1,n2,n3,n4,n5,n6,nb,jackpot
2009-09-25,5.0,15.0,19.0,25.0,31.0,38.0,46.0,4.0,5.132894
2009-10-02,8.0,27.0,28.0,29.0,31.0,32.0,35.0,11.0,10.599404
2009-10-09,5.0,15.0,25.0,38.0,42.0,46.0,47.0,26.0,16.5845
2009-10-16,4.0,10.0,18.0,20.0,31.0,35.0,44.0,29.0,22.85156
2009-10-23,4.0,7.0,10.0,12.0,23.0,25.0,36.0,18.0,30.1663
2009-10-30,6.0,9.0,10.0,14.0,17.0,18.0,19.0,46.0,39.59145
2009-11-06,2.0,7.0,8.0,11.0,16.0,17.0,18.0,12.0,50.0
2009-11-13,8.0,18.0,27.0,28.0,38.0,41.0,48.0,36.0,7.0653186
2009-11-20,2.0,8.0,28.0,30.0,36.0,39.0,42.0,24.0,13.890004
2009-11-27,11.0,15.0,24.0,26.0,37.0,38.0,43.0,17.0,12.5
2009-12-04,1.0,6.0,13.0,19.0,32.0,35.0,40.0,7.0,5.298591
2009-12-11,1.0,4.0,5.0,7.0,22.0,29.0,48.0,13.0,10.286026
2009-12-18,8.0,10.0,15.0,17.0,33.0,34.0,35.0,13.0,16.313581
2009-12-25,8.0,9.0,12.0,13.0,29.0,30.0,31.0,47.0,23.080652
2010-01-01,7.0,9.0,13.0,18.0,27.0,33.0,44.0,15.0,29.732283
2010-01-08,8.0,17.0,21.0,23.0,24.0,28.0,39.0,31.0,20.0
2010-01-15,12.0,17.0,22.0,30.0,34.0,43.0,49.0,48.0,5.5082073
2010-01-22,17.0,26.0,30.0,32.0,34.0,39.0,41.0,49.0,10.877729
2010-01-29,16.0,17.0,22.0,24.0,40.0,41.0,47.0,45.0,16.940403
2010-02-05,10.0,19.0,25.0,29.0,39.0,41.0,42.0,21.0,23.439278
2010-02-12,9.0,12.0,17.0,23.0,34.0,42.0,47.0,37.0,31.299612
2010-02-19,4.0,23.0,27.0,32.0,35.0,43.0,47.0,24.0,42.317604
2010-02-26,2.0,27.0,30.0,32.0,35.0,36.0,38.0,39.0,25.0
2010-03-05,5.0,8.0,18.0,22.0,32.0,39.0,45.0,19.0,9.5
2010-03-12,17.0,18.0,19.0,21.0,32.0,40.0,49.0,6.0,10.0
2010-03-19,1.0,3.0,6.0,34.0,37.0,42.0,45.0,27.0,4.7798285
2010-03-26,3.0,11.0,12.0,16.0,34.0,36.0,37.0,18.0,10.353217
2010-04-02,4.0,9.0,12.0,15.0,28.0,29.0,43.0,17.0,16.279093
2010-04-09,11.0,16.0,29.0,30.0,31.0,33.0,42.0,24.0,22.79161
2010-04-16,6.0,7.0,17.0,20.0,32.0,44.0,49.0,46.0,30.694597
2010-04-23,8.0,11.0,16.0,21.0,24.0,28.0,41.0,37.0,41.716534
2010-04-30,1.0,3.0,4.0,5.0,16.0,32.0,33.0,41.0,5.6803346
2010-05-07,3.0,6.0,10.0,14.0,19.0,25.0,33.0,1.0,11.270597
2010-05-14,7.0,17.0,19.0,23.0,31.0,36.0,41.0,1.0,17.609022
2010-05-21,14.0,16.0,30.0,35.0,36.0,45.0,49.0,10.0,25.983612
2010-05-28,11.0,18.0,23.0,24.0,27.0,28.0,39.0,1.0,35.995575
2010-06-04,3.0,18.0,27.0,30.0,33.0,40.0,45.0,31.0,50.0
2010-06-11,2.0,7.0,12.0,25.0,29.0,32.0,35.0,26.0,50.0
2010-06-18,5.0,6.0,26.0,29.0,34.0,36.0,43.0,49.0,50.0
2010-06-25,5.0,22.0,28.0,31.0,39.0,46.0,48.0,4.0,25.0
2010-07-02,9.0,19.0,25.0,26.0,29.0,30.0,44.0,33.0,33.235836
2010-07-09,9.0,10.0,19.0,24.0,28.0,30.0,31.0,46.0,46.591732
2010-07-16,10.0,14.0,26.0,34.0,43.0,47.0,48.0,28.0,50.0
2010-07-23,17.0,19.0,26.0,29.0,34.0,35.0,38.0,47.0,50.0
2010-07-30,5.0,7.0,11.0,40.0,41.0,47.0,48.0,6.0,50.0
2010-08-06,1.0,5.0,6.0,32.0,36.0,38.0,44.0,29.0,50.0
2010-08-13,19.0,25.0,27.0,29.0,30.0,36.0,46.0,15.0,25.0
2010-08-20,4.0,5.0,7.0,8.0,18.0,30.0,35.0,39.0,37.594692
2010-08-27,3.0,14.0,26.0,27.0,29.0,32.0,34.0,1.0,10.0
2010-09-03,12.0,17.0,27.0,28.0,31.0,36.0,48.0,37.0,7.493043
2010-09-10,4.0,17.0,27.0,32.0,34.0,39.0,47.0,13.0,15.074725
2010-09-17,2.0,5.0,6.0,43.0,46.0,47.0,48.0,39.0,23.350285
2010-09-24,9.0,22.0,25.0,30.0,31.0,39.0,42.0,19.0,7.1108785
2010-10-01,10.0,12.0,13.0,25.0,28.0,29.0,41.0,39.0,14.257419
2010-10-08,3.0,4.0,5.0,8.0,13.0,22.0,33.0,32.0,22.168306
2010-10-15,3.0,14.0,17.0,25.0,30.0,33.0,39.0,7.0,31.472826
2010-10-22,12.0,15.0,19.0,20.0,28.0,29.0,39.0,14.0,43.76264
2010-10-29,2.0,6.0,21.0,26.0,28.0,33.0,47.0,11.0,50.0
2010-11-05,7.0,10.0,24.0,30.0,35.0,36.0,39.0,3.0,14.066055
2010-11-12,13.0,15.0,17.0,18.0,19.0,47.0,49.0,38.0,22.29231
2010-11-19,4.0,13.0,25.0,29.0,36.0,40.0,48.0,24.0,6.3733053
2010-11-26,12.0,21.0,23.0,27.0,28.0,29.0,37.0,9.0,12.440966
2010-12-03,1.0,10.0,13.0,26.0,43.0,46.0,49.0,31.0,19.907156
2010-12-10,7.0,9.0,12.0,20.0,28.0,38.0,44.0,10.0,28.231377
2010-12-17,1.0,16.0,28.0,29.0,33.0,37.0,47.0,24.0,39.62134
2010-12-24,8.0,23.0,25.0,26.0,33.0,41.0,43.0,21.0,50.0
2010-12-31,2.0,7.0,10.0,22.0,32.0,34.0,38.0,1.0,50.0
2011-01-07,2.0,10.0,13.0,15.0,23.0,28.0,49.0,40.0,22.557436
2011-01-14,2.0,6.0,10.0,12.0,24.0,30.0,37.0,3.0,32.608917
2011-01-21,2.0,18.0,19.0,29.0,42.0,47.0,49.0,17.0,45.699074
2011-01-28,7.0,10.0,14.0,20.0,21.0,23.0,31.0,41.0,50.0
2011-02-04,1.0,3.0,13.0,18.0,19.0,39.0,48.0,40.0,20.785028
2011-02-11,4.0,6.0,13.0,19.0,26.0,29.0,47.0,43.0,30.474201
2011-02-18,3.0,7.0,12.0,16.0,20.0,42.0,48.0,31.0,42.205563
2011-02-25,3.0,14.0,19.0,30.0,32.0,39.0,46.0,8.0,50.0
2011-03-04,3.0,18.0,27.0,29.0,32.0,33.0,35.0,47.0,50.0
2011-03-11,2.0,3.0,4.0,20.0,22.0,40.0,43.0,9.0,50.0
2011-03-18,2.0,5.0,10.0,21.0,25.0,35.0,49.0,40.0,32.202515
2011-03-25,1.0,4.0,22.0,25.0,26.0,36.0,46.0,5.0,44.216503
2011-04-01,5.0,6.0,11.0,12.0,24.0,26.0,34.0,49.0,50.0
2011-04-08,13.0,18.0,25.0,41.0,44.0,48.0,49.0,1.0,50.0
2011-04-15,3.0,12.0,14.0,15.0,25.0,32.0,49.0,37.0,16.666666
2011-04-22,7.0,19.0,34.0,35.0,38.0,42.0,46.0,11.0,33.301693
2011-04-29,1.0,13.0,20.0,24.0,39.0,45.0,47.0,25.0,8.27099
2011-05-06,6.0,19.0,24.0,25.0,26.0,35.0,36.0,23.0,16.325905
2011-05-13,7.0,8.0,14.0,32.0,38.0,42.0,44.0,30.0,25.670816
2011-05-20,7.0,12.0,14.0,18.0,30.0,45.0,47.0,20.0,35.738796
2011-05-27,5.0,9.0,19.0,20.0,21.0,28.0,30.0,36.0,5.0
2011-06-03,8.0,21.0,28.0,32.0,33.0,34.0,48.0,38.0,7.338209
2011-06-10,8.0,11.0,12.0,25.0,28.0,30.0,33.0,16.0,14.62031
2011-06-17,2.0,7.0,14.0,16.0,22.0,27.0,47.0,25.0,22.646019
2011-06-24,2.0,9.0,10.0,15.0,29.0,44.0,48.0,22.0,6.9330564
2011-07-01,15.0,18.0,20.0,28.0,29.0,40.0,47.0,38.0,14.016519
2011-07-08,17.0,22.0,28.0,38.0,41.0,43.0,45.0,5.0,21.41269
2011-07-15,3.0,7.0,8.0,12.0,18.0,24.0,41.0,1.0,6.0947413
2011-07-22,4.0,13.0,23.0,28.0,32.0,40.0,42.0,12.0,15.0
2011-07-29,1.0,2.0,3.0,17.0,24.0,35.0,36.0,30.0,6.7809267
2011-08-05,11.0,17.0,18.0,20.0,22.0,29.0,45.0,27.0,14.1185465
2011-08-12,4.0,15.0,21.0,30.0,33.0,35.0,47.0,28.0,23.536478
2011-08-19,4.0,14.0,24.0,41.0,43.0,46.0,49.0,1.0,40.0
2011-08-26,6.0,11.0,12.0,14.0,35.0,43.0,44.0,42.0,7.0471373
2011-09-02,2.0,3.0,8.0,13.0,18.0,20.0,23.0,10.0,20.0
2011-09-09,6.0,8.0,15.0,20.0,30.0,32.0,42.0,17.0,6.6498756
2011-09-16,12.0,18.0,22.0,24.0,28.0,43.0,49.0,21.0,14.276271
2011-09-23,8.0,16.0,24.0,27.0,30.0,38.0,40.0,18.0,23.186035
2011-09-30,5.0,6.0,7.0,12.0,14.0,18.0,25.0,38.0,34.285007
2011-10-07,12.0,13.0,24.0,25.0,26.0,41.0,43.0,7.0,50.0
2011-10-14,1.0,3.0,7.0,19.0,31.0,39.0,49.0,17.0,8.211605
2011-10-21,6.0,23.0,27.0,30.0,34.0,38.0,45.0,21.0,16.278744
2011-10-28,2.0,4.0,18.0,20.0,29.0,38.0,41.0,9.0,25.790678
2011-11-04,5.0,8.0,13.0,15.0,27.0,28.0,37.0,39.0,36.549904
2011-11-11,5.0,7.0,9.0,25.0,31.0,37.0,39.0,22.0,50.0
2011-11-18,8.0,17.0,27.0,28.0,39.0,44.0,49.0,24.0,50.0
2011-11-25,8.0,10.0,15.0,24.0,30.0,35.0,49.0,23.0,21.0
2011-12-02,23.0,29.0,33.0,34.0,39.0,44.0,48.0,32.0,7.5393157
2011-12-09,3.0,11.0,18.0,19.0,23.0,27.0,44.0,46.0,15.412656
2011-12-16,11.0,24.0,26.0,31.0,42.0,44.0,46.0,22.0,25.121357
2011-12-23,3.0,4.0,9.0,25.0,26.0,37.0,39.0,45.0,41.053276
2011-12-30,2.0,13.0,22.0,28.0,35.0,41.0,42.0,4.0,50.0
2012-01-06,1.0,2.0,8.0,13.0,22.0,45.0,46.0,48.0,9.667972
2012-01-13,6.0,15.0,18.0,26.0,41.0,46.0,48.0,27.0,18.580595
2012-01-20,9.0,15.0,21.0,23.0,41.0,43.0,44.0,46.0,27.605316
2012-01-27,8.0,24.0,28.0,34.0,37.0,43.0,45.0,21.0,41.453876
2012-02-03,2.0,8.0,12.0,14.0,33.0,37.0,47.0,46.0,16.666666
2012-02-10,1.0,5.0,25.0,35.0,38.0,44.0,47.0,39.0,15.0
2012-02-17,1.0,15.0,26.0,28.0,31.0,39.0,49.0,18.0,7.460424
2012-02-24,6.0,17.0,23.0,24.0,25.0,31.0,38.0,7.0,15.491869
2012-03-02,4.0,13.0,14.0,15.0,34.0,46.0,47.0,49.0,24.98272
2012-03-09,7.0,18.0,19.0,29.0,39.0,47.0,48.0,32.0,35.62288
2012-03-16,5.0,7.0,18.0,24.0,28.0,41.0,49.0,26.0,49.157036
2012-03-23,6.0,18.0,21.0,23.0,24.0,32.0,48.0,47.0,50.0
2012-03-30,3.0,11.0,12.0,19.0,35.0,45.0,47.0,13.0,18.895735
2012-04-06,15.0,18.0,19.0,25.0,32.0,42.0,49.0,43.0,30.0
2012-04-13,2.0,6.0,11.0,12.0,16.0,39.0,45.0,3.0,7.381642
2012-04-20,14.0,15.0,16.0,19.0,30.0,36.0,46.0,42.0,15.288348
2012-04-27,3.0,23.0,28.0,40.0,42.0,43.0,45.0,17.0,24.595938
2012-05-04,3.0,5.0,6.0,25.0,37.0,43.0,45.0,21.0,37.388363
2012-05-11,1.0,6.0,7.0,24.0,31.0,36.0,39.0,26.0,50.0
2012-05-18,3.0,4.0,13.0,15.0,21.0,29.0,48.0,26.0,50.0
2012-05-25,1.0,2.0,3.0,6.0,12.0,20.0,41.0,10.0,22.552235
2012-06-01,4.0,7.0,13.0,24.0,26.0,27.0,43.0,41.0,32.063232
2012-06-08,9.0,10.0,16.0,24.0,26.0,44.0,48.0,27.0,43.050316
2012-06-15,8.0,11.0,20.0,28.0,36.0,43.0,47.0,18.0,50.0
2012-06-22,1.0,12.0,20.0,22.0,30.0,34.0,38.0,33.0,50.0
2012-06-29,10.0,14.0,20.0,28.0,35.0,40.0,42.0,44.0,50.0
2012-07-06,14.0,26.0,31.0,34.0,37.0,45.0,48.0,38.0,50.0
2012-07-13,3.0,13.0,14.0,23.0,33.0,36.0,45.0,7.0,21.77198
2012-07-20,4.0,7.0,29.0,35.0,39.0,43.0,44.0,46.0,8.339237
2012-07-27,2.0,20.0,25.0,26.0,46.0,47.0,48.0,44.0,16.817398
2012-08-03,1.0,2.0,18.0,26.0,27.0,39.0,42.0,33.0,26.31724
2012-08-10,2.0,15.0,18.0,19.0,22.0,27.0,49.0,40.0,35.987217
2012-08-17,18.0,19.0,22.0,27.0,29.0,36.0,47.0,25.0,48.789375
2012-08-24,2.0,3.0,5.0,22.0,23.0,32.0,33.0,8.0,25.0
2012-08-31,5.0,12.0,13.0,28.0,33.0,37.0,43.0,44.0,20.0
2012-09-07,11.0,14.0,18.0,20.0,37.0,41.0,46.0,8.0,7.487282
2012-09-14,2.0,27.0,30.0,31.0,37.0,46.0,47.0,21.0,15.488961
2012-09-21,7.0,8.0,10.0,11.0,19.0,34.0,45.0,44.0,24.226196
2012-09-28,5.0,6.0,32.0,33.0,39.0,42.0,47.0,9.0,35.105404
2012-10-05,1.0,12.0,23.0,27.0,30.0,31.0,37.0,33.0,48.111843
2012-10-12,5.0,7.0,12.0,15.0,35.0,45.0,47.0,40.0,50.0
2012-10-19,1.0,2.0,3.0,15.0,22.0,37.0,41.0,6.0,50.0
2012-10-26,3.0,4.0,20.0,25.0,30.0,35.0,48.0,23.0,50.0
2012-11-02,1.0,2.0,5.0,26.0,29.0,36.0,47.0,13.0,25.0
2012-11-09,8.0,9.0,11.0,22.0,24.0,42.0,46.0,13.0,26.273865
2012-11-16,1.0,5.0,9.0,19.0,27.0,35.0,48.0,30.0,38.059597
2012-11-23,6.0,8.0,10.0,17.0,28.0,29.0,38.0,34.0,50.0
2012-11-30,3.0,10.0,13.0,23.0,31.0,41.0,45.0,33.0,50.0
2012-12-07,5.0,11.0,22.0,29.0,38.0,42.0,49.0,33.0,20.512728
2012-12-14,3.0,6.0,10.0,33.0,39.0,48.0,49.0,18.0,30.38524
2012-12-21,7.0,8.0,17.0,18.0,20.0,40.0,41.0,33.0,50.0
2012-12-28,1.0,9.0,25.0,28.0,32.0,41.0,48.0,12.0,7.601071
2013-01-04,3.0,6.0,16.0,23.0,27.0,28.0,34.0,22.0,20.0
2013-01-11,2.0,25.0,26.0,37.0,39.0,48.0,49.0,40.0,7.3641872
2013-01-18,8.0,16.0,17.0,28.0,32.0,34.0,47.0,19.0,15.257672
2013-01-25,1.0,18.0,19.0,29.0,31.0,32.0,46.0,36.0,30.0
2013-02-01,5.0,9.0,10.0,32.0,37.0,44.0,46.0,38.0,7.3963184
2013-02-08,3.0,8.0,13.0,30.0,38.0,45.0,47.0,10.0,14.733242
2013-02-15,14.0,23.0,24.0,25.0,28.0,41.0,45.0,37.0,30.0
2013-02-22,5.0,12.0,24.0,31.0,39.0,45.0,49.0,35.0,6.853239
2013-03-01,1.0,2.0,5.0,6.0,38.0,39.0,46.0,33.0,14.30314
2013-03-08,9.0,15.0,17.0,28.0,35.0,39.0,41.0,36.0,30.0
2013-03-15,9.0,16.0,17.0,19.0,22.0,41.0,43.0,12.0,6.8201265
2013-03-22,7.0,12.0,16.0,19.0,21.0,24.0,47.0,34.0,13.933172
2013-03-29,8.0,11.0,12.0,13.0,22.0,33.0,47.0,7.0,22.063438
2013-04-05,2.0,14.0,15.0,17.0,24.0,38.0,40.0,31.0,40.0
2013-04-12,3.0,6.0,37.0,40.0,42.0,44.0,48.0,18.0,6.907834
2013-04-19,2.0,3.0,8.0,20.0,28.0,31.0,34.0,42.0,14.471912
2013-04-26,10.0,13.0,15.0,18.0,25.0,36.0,47.0,40.0,22.611116
2013-05-03,4.0,6.0,21.0,26.0,30.0,34.0,35.0,39.0,40.0
2013-05-10,3.0,10.0,19.0,21.0,27.0,35.0,36.0,49.0,6.477024
2013-05-17,8.0,18.0,21.0,27.0,33.0,46.0,49.0,26.0,13.784986
2013-05-24,9.0,19.0,21.0,24.0,39.0,43.0,48.0,6.0,21.628773
2013-05-31,5.0,7.0,10.0,15.0,22.0,45.0,47.0,23.0,50.0
2013-06-07,5.0,19.0,24.0,34.0,35.0,38.0,43.0,8.0,7.3032637
2013-06-14,2.0,12.0,15.0,18.0,21.0,22.0,25.0,5.0,14.878746
2013-06-21,2.0,9.0,12.0,13.0,27.0,28.0,36.0,20.0,23.00674
2013-06-28,2.0,7.0,15.0,38.0,43.0,44.0,47.0,1.0,32.700592
2013-07-05,5.0,12.0,15.0,39.0,44.0,46.0,49.0,18.0,50.0
2013-07-12,14.0,16.0,17.0,36.0,45.0,46.0,48.0,7.0,7.2060137
2013-07-19,3.0,17.0,19.0,20.0,34.0,35.0,43.0,4.0,14.320477
2013-07-26,5.0,9.0,12.0,18.0,24.0,35.0,42.0,17.0,21.787436
2013-08-02,2.0,9.0,23.0,29.0,30.0,34.0,43.0,40.0,30.350653
2013-08-09,6.0,15.0,19.0,26.0,43.0,44.0,49.0,30.0,6.9926815
2013-08-16,2.0,6.0,20.0,22.0,30.0,34.0,49.0,45.0,13.885968
2013-08-23,5.0,6.0,10.0,17.0,22.0,36.0,48.0,3.0,20.961384
2013-08-30,6.0,19.0,20.0,25.0,31.0,35.0,36.0,45.0,30.0
2013-09-06,1.0,7.0,23.0,36.0,37.0,39.0,41.0,33.0,6.795186
2013-09-13,2.0,6.0,12.0,15.0,16.0,22.0,49.0,46.0,15.0
2013-09-20,2.0,14.0,15.0,24.0,40.0,43.0,44.0,45.0,6.216619
2013-09-27,10.0,11.0,18.0,24.0,26.0,42.0,47.0,45.0,12.780214
2013-10-04,12.0,16.0,19.0,20.0,28.0,34.0,42.0,9.0,19.626038
2013-10-11,7.0,8.0,9.0,16.0,21.0,28.0,48.0,29.0,26.826729
2013-10-18,10.0,26.0,28.0,33.0,34.0,35.0,40.0,12.0,38.47013
2013-10-25,13.0,16.0,24.0,29.0,33.0,40.0,49.0,28.0,50.0
2013-11-01,11.0,12.0,16.0,22.0,30.0,32.0,49.0,35.0,25.0
2013-11-08,7.0,8.0,10.0,15.0,24.0,26.0,41.0,12.0,18.92611
2013-11-15,1.0,3.0,10.0,15.0,25.0,28.0,31.0,7.0,32.0
2013-11-22,2.0,24.0,35.0,38.0,39.0,41.0,48.0,20.0,50.0
2013-11-29,3.0,6.0,19.0,31.0,34.0,42.0,45.0,30.0,50.0
2013-12-06,3.0,4.0,11.0,18.0,37.0,42.0,44.0,47.0,50.0
2013-12-13,6.0,16.0,24.0,32.0,36.0,45.0,47.0,25.0,50.0
2013-12-20,2.0,13.0,18.0,24.0,27.0,37.0,43.0,14.0,50.0
2013-12-27,1.0,6.0,9.0,11.0,17.0,37.0,39.0,32.0,41.0
2014-01-03,7.0,16.0,31.0,35.0,39.0,44.0,48.0,42.0,46.0
2014-01-10,12.0,28.0,31.0,38.0,40.0,41.0,45.0,15.0,50.0
2014-01-17,4.0,9.0,18.0,32.0,35.0,38.0,40.0,12.0,50.0
2014-01-24,7.0,10.0,15.0,23.0,30.0,36.0,44.0,45.0,20.0
2014-01-31,6.0,10.0,16.0,27.0,38.0,40.0,45.0,39.0,30.0
2014-02-07,13.0,19.0,37.0,38.0,40.0,43.0,48.0,46.0,40.0
2014-02-14,6.0,8.0,11.0,16.0,17.0,19.0,24.0,29.0,50.0
2014-02-21,1.0,10.0,16.0,23.0,29.0,35.0,39.0,46.0,50.0
2014-02-28,4.0,7.0,20.0,22.0,26.0,28.0,29.0,47.0,50.0
2014-03-07,1.0,6.0,7.0,16.0,22.0,31.0,33.0,25.0,50.0
2014-03-14,3.0,4.0,5.0,7.0,31.0,33.0,40.0,49.0,50.0
2014-03-21,1.0,2.0,4.0,21.0,23.0,35.0,40.0,5.0,43.0
2014-03-28,8.0,15.0,16.0,21.0,31.0,37.0,39.0,20.0,48.0
2014-04-04,19.0,30.0,33.0,34.0,36.0,41.0,48.0,11.0,10.0
2014-04-11,1.0,3.0,14.0,33.0,35.0,39.0,45.0,28.0,15.549201
2014-04-18,9.0,16.0,24.0,30.0,39.0,40.0,45.0,14.0,23.433239
2014-04-25,3.0,9.0,24.0,25.0,28.0,36.0,40.0,48.0,32.0
2014-05-02,6.0,15.0,18.0,19.0,25.0,44.0,46.0,28.0,50.0
2014-05-09,5.0,7.0,29.0,35.0,39.0,41.0,49.0,14.0,50.0
2014-05-16,12.0,13.0,16.0,30.0,32.0,35.0,37.0,7.0,13.0
2014-05-23,3.0,11.0,16.0,24.0,31.0,39.0,43.0,2.0,18.0
2014-05-30,2.0,5.0,10.0,11.0,23.0,25.0,31.0,46.0,24.01972
2014-06-06,3.0,5.0,17.0,30.0,36.0,47.0,49.0,31.0,32.685303
2014-06-13,12.0,16.0,24.0,29.0,36.0,40.0,47.0,44.0,10.0
2014-06-20,12.0,17.0,32.0,36.0,43.0,44.0,49.0,4.0,15.0
2014-06-27,4.0,6.0,7.0,16.0,18.0,40.0,46.0,34.0,21.466879
2014-07-04,5.0,10.0,11.0,20.0,26.0,38.0,46.0,44.0,30.0
2014-07-11,1.0,6.0,10.0,16.0,18.0,21.0,31.0,5.0,10.0
2014-07-18,1.0,3.0,16.0,33.0,34.0,40.0,42.0,2.0,15.0
2014-07-25,7.0,9.0,24.0,30.0,35.0,42.0,43.0,36.0,20.609032
2014-08-01,1.0,2.0,5.0,10.0,11.0,25.0,34.0,36.0,10.0
2014-08-08,6.0,9.0,16.0,19.0,20.0,24.0,30.0,31.0,15.0
2014-08-15,9.0,16.0,17.0,27.0,32.0,38.0,47.0,37.0,20.464314
2014-08-22,13.0,16.0,22.0,26.0,35.0,36.0,39.0,44.0,30.0
2014-08-29,1.0,23.0,26.0,33.0,35.0,38.0,42.0,18.0,50.0
2014-09-05,3.0,8.0,11.0,20.0,28.0,36.0,38.0,26.0,50.0
2014-09-12,5.0,6.0,8.0,13.0,24.0,37.0,46.0,30.0,14.0
2014-09-19,4.0,7.0,8.0,10.0,16.0,20.0,36.0,27.0,10.0
2014-09-26,2.0,3.0,5.0,18.0,37.0,38.0,46.0,33.0,15.0
2014-10-03,7.0,15.0,24.0,25.0,27.0,43.0,47.0,22.0,22.282942
2014-10-10,5.0,13.0,18.0,28.0,31.0,38.0,44.0,46.0,30.818285
2014-10-17,18.0,19.0,32.0,36.0,38.0,40.0,43.0,1.0,10.0
2014-10-24,8.0,27.0,30.0,32.0,34.0,35.0,42.0,17.0,15.0
2014-10-31,3.0,12.0,25.0,30.0,42.0,44.0,45.0,26.0,10.0
2014-11-07,1.0,3.0,6.0,8.0,14.0,20.0,30.0,28.0,15.0
2014-11-14,2.0,5.0,7.0,13.0,15.0,30.0,38.0,27.0,20.0
2014-11-21,6.0,18.0,19.0,26.0,37.0,39.0,47.0,21.0,30.0
2014-11-28,3.0,4.0,7.0,12.0,17.0,26.0,34.0,1.0,25.0
2014-12-05,10.0,14.0,15.0,16.0,42.0,45.0,48.0,49.0,11.0
2014-12-12,2.0,14.0,30.0,34.0,38.0,47.0,48.0,16.0,16.0
2014-12-19,3.0,6.0,13.0,17.0,22.0,25.0,43.0,47.0,21.464571
2014-12-26,15.0,20.0,29.0,39.0,40.0,43.0,46.0,12.0,30.0
2015-01-02,8.0,9.0,14.0,19.0,28.0,31.0,46.0,48.0,40.0
2015-01-09,3.0,7.0,12.0,18.0,31.0,33.0,35.0,26.0,50.0
2015-01-16,6.0,29.0,30.0,31.0,36.0,42.0,45.0,32.0,50.0
2015-01-23,1.0,14.0,15.0,18.0,26.0,42.0,48.0,39.0,21.0
2015-01-30,10.0,15.0,21.0,28.0,32.0,36.0,37.0,9.0,30.0
2015-02-06,1.0,5.0,7.0,13.0,14.0,33.0,46.0,47.0,50.0
2015-02-13,6.0,9.0,18.0,22.0,25.0,32.0,44.0,46.0,12.0
2015-02-20,26.0,34.0,38.0,41.0,46.0,48.0,49.0,10.0,17.0
2015-02-27,4.0,12.0,16.0,27.0,37.0,39.0,44.0,32.0,22.257355
2015-03-06,2.0,8.0,9.0,10.0,24.0,26.0,41.0,37.0,30.338621
2015-03-13,2.0,8.0,10.0,15.0,17.0,20.0,24.0,14.0,40.0
2015-03-20,7.0,10.0,16.0,35.0,36.0,42.0,45.0,24.0,50.0
2015-03-27,3.0,7.0,15.0,23.0,29.0,31.0,45.0,46.0,12.0
2015-04-03,10.0,11.0,23.0,28.0,32.0,34.0,41.0,29.0,17.0
2015-04-10,7.0,8.0,16.0,18.0,24.0,25.0,46.0,37.0,22.0
